vcs,halluc_prob,verification,evidence,retrieval,ground_truth
0.5143,0.33,0.0,0.7793620537202305,0.6048198938369751,1
0.5203,0.3482,0.0,0.8203234706803867,0.6048198938369751,0
0.5143,0.3236,0.0,0.7731027756342552,0.6048198938369751,0
0.2052,0.7188,0.0,0.13499806523323057,0.4499935507774353,1
0.2194,0.6626,0.0,0.13499806523323057,0.4499935507774353,1
0.2472,0.5535,0.0,0.13499806523323057,0.4499935507774353,0
0.2597,0.505,0.0,0.13499806523323057,0.4499935507774353,1
0.2476,0.5523,0.0,0.13499806523323057,0.4499935507774353,0
0.2031,0.7269,0.0,0.13499806523323057,0.4499935507774353,1
0.3383,0.4261,0.0,0.18685909509658813,0.6228636503219604,1
0.3533,0.3683,0.0,0.18685909509658813,0.6228636503219604,1
0.3188,0.5007,0.0,0.18685909509658813,0.6228636503219604,0
0.3401,0.4189,0.0,0.18685909509658813,0.6228636503219604,0
0.3441,0.4035,0.0,0.18685909509658813,0.6228636503219604,0
0.3629,0.3315,0.0,0.18685909509658813,0.6228636503219604,1
0.4655,0.5233,0.0,0.800470516477598,0.5917050838470459,1
0.3251,0.436,0.0,0.17751152515411375,0.5917050838470459,1
0.5194,0.4842,0.144,0.8222286058762649,0.5917050838470459,1
0.4647,0.5614,0.0107,0.8248191850196794,0.5917050838470459,1
0.461,0.5445,0.0,0.8046230007117409,0.5917050838470459,0
0.5439,0.4419,0.216,0.8009465323216693,0.5917050838470459,1
0.2937,0.5555,0.0,0.17709789276123047,0.5903263092041016,1
0.3161,0.469,0.0,0.17709789276123047,0.5903263092041016,1
0.3066,0.5057,0.0,0.17709789276123047,0.5903263092041016,1
0.326,0.4308,0.0,0.17709789276123047,0.5903263092041016,0
0.2995,0.533,0.0,0.17709789276123047,0.5903263092041016,1
0.3039,0.5161,0.0,0.17709789276123047,0.5903263092041016,0
0.36,0.3554,0.0,0.1897859215736389,0.6326197385787964,1
0.2747,0.6841,0.0,0.1897859215736389,0.6326197385787964,1
0.3467,0.4066,0.0,0.1897859215736389,0.6326197385787964,1
0.3008,0.583,0.0,0.1897859215736389,0.6326197385787964,1
0.298,0.5938,0.0,0.1897859215736389,0.6326197385787964,1
0.3513,0.3889,0.0,0.1897859215736389,0.6326197385787964,1
0.2821,0.5281,0.0,0.16038599610328674,0.5346199870109558,1
0.3077,0.4291,0.0,0.16038599610328674,0.5346199870109558,1
0.3091,0.4234,0.0,0.16038599610328674,0.5346199870109558,1
0.2455,0.6704,0.0,0.16038599610328674,0.5346199870109558,1
0.2863,0.5118,0.0,0.16038599610328674,0.5346199870109558,1
0.2721,0.5666,0.0,0.16038599610328674,0.5346199870109558,1
0.519,0.503,0.2391,0.7541808320666028,0.581978976726532,0
0.3318,0.3976,0.0,0.1745936930179596,0.581978976726532,1
0.6313,0.3227,0.4543,0.7861060464580801,0.581978976726532,1
0.5546,0.476,0.3264,0.775224778147097,0.581978976726532,1
0.3068,0.4941,0.0,0.1745936930179596,0.581978976726532,1
0.324,0.4276,0.0,0.1745936930179596,0.581978976726532,1
0.2816,0.4831,0.0,0.14963437914848327,0.4987812638282776,1
0.2836,0.4755,0.0,0.14963437914848327,0.4987812638282776,1
0.2694,0.5305,0.0,0.14963437914848327,0.4987812638282776,0
0.2736,0.5144,0.0,0.14963437914848327,0.4987812638282776,1
0.2832,0.4771,0.0,0.14963437914848327,0.4987812638282776,1
0.2745,0.5107,0.0,0.14963437914848327,0.4987812638282776,0
0.3232,0.4282,0.0,0.17397361993789673,0.5799120664596558,1
0.3286,0.4074,0.0,0.17397361993789673,0.5799120664596558,1
0.3217,0.4341,0.0,0.17397361993789673,0.5799120664596558,0
0.3144,0.4619,0.0,0.17397361993789673,0.5799120664596558,1
